epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,5285.45,1.25084,2.99446,1.44129,0.50893,0.50079,0.43198,0.18105,1.97847,5.72258,2.02658,0.0011884,0.0011884,0.0011884
60,5373.63,1.2284,2.97503,1.41143,0.44558,0.48393,0.37927,0.16043,1.99926,5.94831,2.03917,0.00118015,0.00118015,0.00118015
61,5461.79,1.27208,3.12333,1.47894,0.45475,0.43856,0.41693,0.19556,2.01001,5.87012,2.04352,0.0011719,0.0011719,0.0011719
62,5553.3,1.27223,3.03164,1.46198,0.43584,0.46085,0.39299,0.17175,2.03476,6.04169,2.00861,0.00116365,0.00116365,0.00116365
63,5642.96,1.23836,2.98815,1.43824,0.43406,0.48451,0.41467,0.17974,2.00843,5.99113,2.0067,0.0011554,0.0011554,0.0011554
64,5733.53,1.25389,3.09406,1.45583,0.4723,0.45157,0.39356,0.18243,1.99881,5.99037,2.03708,0.00114715,0.00114715,0.00114715
65,5822.42,1.24217,3.04142,1.426,0.40197,0.4522,0.36494,0.15282,2.01512,6.20799,2.08973,0.00113889,0.00113889,0.00113889
66,5912.46,1.2498,2.92216,1.43826,0.50178,0.47989,0.43987,0.18628,2.06489,5.85033,2.0824,0.00113064,0.00113064,0.00113064
67,6004.2,1.21811,2.86562,1.41732,0.41179,0.44975,0.37843,0.17042,2.11087,6.60249,2.13165,0.00112239,0.00112239,0.00112239
68,6093.59,1.2002,2.81748,1.39956,0.40661,0.45974,0.40947,0.1764,2.13146,6.58081,2.1501,0.00111414,0.00111414,0.00111414
69,6183.76,1.2198,2.87144,1.42803,0.45435,0.46174,0.40391,0.18824,2.00719,6.0196,2.08103,0.00110589,0.00110589,0.00110589
70,6274.49,1.24032,2.9507,1.44534,0.51225,0.41334,0.3924,0.17156,2.06548,6.59948,2.15467,0.00109764,0.00109764,0.00109764
71,6365.5,1.21165,2.83254,1.41,0.50863,0.50857,0.45405,0.20918,2.04005,6.12047,2.07341,0.00108938,0.00108938,0.00108938
72,6455.7,1.22501,2.87404,1.4123,0.56497,0.48094,0.47319,0.20563,2.03267,5.80067,2.06912,0.00108113,0.00108113,0.00108113
73,6544.38,1.22323,2.7735,1.40999,0.51693,0.4526,0.43394,0.19406,1.93791,5.88642,1.98343,0.00107288,0.00107288,0.00107288
74,6636.84,1.22942,2.87183,1.43634,0.49147,0.48273,0.43536,0.19527,1.98128,5.56431,2.00077,0.00106463,0.00106463,0.00106463
